L,gm/Id,Ai
4.5e-07,2.4083,32.0394
4.5e-07,2.41213,32.1023
4.5e-07,2.41597,32.1654
4.5e-07,2.41982,32.2286
4.5e-07,2.42367,32.292
4.5e-07,2.42754,32.3555
4.5e-07,2.43142,32.4191
4.5e-07,2.43531,32.4829
4.5e-07,2.43921,32.5469
4.5e-07,2.44312,32.611
4.5e-07,2.44704,32.6752
4.5e-07,2.45097,32.7396
4.5e-07,2.45491,32.8041
4.5e-07,2.45886,32.8688
4.5e-07,2.46282,32.9336
4.5e-07,2.46679,32.9985
4.5e-07,2.47078,33.0637
4.5e-07,2.47477,33.1289
4.5e-07,2.47877,33.1943
4.5e-07,2.48279,33.2599
4.5e-07,2.48681,33.3256
4.5e-07,2.49085,33.3914
4.5e-07,2.4949,33.4575
4.5e-07,2.49895,33.5236
4.5e-07,2.50302,33.5899
4.5e-07,2.5071,33.6564
4.5e-07,2.51119,33.723
4.5e-07,2.51529,33.7898
4.5e-07,2.5194,33.8567
4.5e-07,2.52353,33.9238
4.5e-07,2.52766,33.991
4.5e-07,2.53181,34.0584
4.5e-07,2.53596,34.1259
4.5e-07,2.54013,34.1936
4.5e-07,2.54431,34.2615
4.5e-07,2.5485,34.3295
4.5e-07,2.55271,34.3977
4.5e-07,2.55692,34.466
4.5e-07,2.56114,34.5345
4.5e-07,2.56538,34.6031
4.5e-07,2.56963,34.6719
4.5e-07,2.57389,34.7409
4.5e-07,2.57816,34.81
4.5e-07,2.58245,34.8793
4.5e-07,2.58674,34.9487
4.5e-07,2.59105,35.0183
4.5e-07,2.59537,35.0881
4.5e-07,2.5997,35.158
4.5e-07,2.60404,35.2281
4.5e-07,2.6084,35.2984
4.5e-07,2.61276,35.3688
4.5e-07,2.61714,35.4394
4.5e-07,2.62154,35.5101
4.5e-07,2.62594,35.581
4.5e-07,2.63036,35.6521
4.5e-07,2.63478,35.7233
4.5e-07,2.63923,35.7947
4.5e-07,2.64368,35.8663
4.5e-07,2.64815,35.9381
4.5e-07,2.65262,36.01
4.5e-07,2.65712,36.0821
4.5e-07,2.66162,36.1543
4.5e-07,2.66614,36.2267
4.5e-07,2.67067,36.2993
4.5e-07,2.67521,36.3721
4.5e-07,2.67976,36.445
4.5e-07,2.68433,36.5181
4.5e-07,2.68891,36.5914
4.5e-07,2.69351,36.6649
4.5e-07,2.69811,36.7385
4.5e-07,2.70273,36.8123
4.5e-07,2.70737,36.8863
4.5e-07,2.71202,36.9604
4.5e-07,2.71668,37.0347
4.5e-07,2.72135,37.1092
4.5e-07,2.72604,37.1839
4.5e-07,2.73074,37.2588
4.5e-07,2.73545,37.3338
4.5e-07,2.74018,37.409
4.5e-07,2.74492,37.4844
4.5e-07,2.74968,37.56
4.5e-07,2.75445,37.6357
4.5e-07,2.75923,37.7117
4.5e-07,2.76403,37.7878
4.5e-07,2.76884,37.8641
4.5e-07,2.77367,37.9405
4.5e-07,2.7785,38.0172
4.5e-07,2.78336,38.094
4.5e-07,2.78823,38.1711
4.5e-07,2.79311,38.2483
4.5e-07,2.79801,38.3257
4.5e-07,2.80292,38.4032
4.5e-07,2.80784,38.481
4.5e-07,2.81278,38.559
4.5e-07,2.81774,38.6371
4.5e-07,2.82271,38.7154
4.5e-07,2.82769,38.794
4.5e-07,2.83269,38.8727
4.5e-07,2.83771,38.9516
4.5e-07,2.84274,39.0307
4.5e-07,2.84778,39.1099
