L,Id/W,gm/Id
4.5e-07,50.9016,3.9037
4.5e-07,50.7228,3.91245
4.5e-07,50.5442,3.92125
4.5e-07,50.3659,3.93008
4.5e-07,50.1877,3.93894
4.5e-07,50.0098,3.94784
4.5e-07,49.8322,3.95678
4.5e-07,49.6547,3.96575
4.5e-07,49.4776,3.97476
4.5e-07,49.3006,3.9838
4.5e-07,49.1238,3.99288
4.5e-07,48.9473,4.002
4.5e-07,48.7711,4.01116
4.5e-07,48.595,4.02035
4.5e-07,48.4192,4.02959
4.5e-07,48.2437,4.03885
4.5e-07,48.0683,4.04816
4.5e-07,47.8932,4.05751
4.5e-07,47.7184,4.06689
4.5e-07,47.5437,4.07632
4.5e-07,47.3693,4.08578
4.5e-07,47.1952,4.09528
4.5e-07,47.0213,4.10482
4.5e-07,46.8476,4.11441
4.5e-07,46.6742,4.12403
4.5e-07,46.5009,4.13369
4.5e-07,46.328,4.14339
4.5e-07,46.1553,4.15314
4.5e-07,45.9828,4.16292
4.5e-07,45.8105,4.17275
4.5e-07,45.6385,4.18262
4.5e-07,45.4668,4.19253
4.5e-07,45.2952,4.20248
4.5e-07,45.124,4.21247
4.5e-07,44.9529,4.22251
4.5e-07,44.7821,4.23259
4.5e-07,44.6116,4.24271
4.5e-07,44.4413,4.25288
4.5e-07,44.2712,4.26309
4.5e-07,44.1014,4.27335
4.5e-07,43.9318,4.28365
4.5e-07,43.7625,4.29399
4.5e-07,43.5934,4.30438
4.5e-07,43.4245,4.31481
4.5e-07,43.2559,4.32529
4.5e-07,43.0876,4.33582
4.5e-07,42.9195,4.34639
4.5e-07,42.7516,4.35701
4.5e-07,42.584,4.36767
4.5e-07,42.4167,4.37838
4.5e-07,42.2496,4.38914
4.5e-07,42.0827,4.39995
4.5e-07,41.9161,4.4108
4.5e-07,41.7498,4.42171
4.5e-07,41.5837,4.43266
