L,Id/W,gm/Id
4.5e-07,10.2124,5.08678
4.5e-07,10.1657,5.09911
4.5e-07,10.1191,5.11149
4.5e-07,10.0726,5.12392
4.5e-07,10.0261,5.13641
4.5e-07,9.97981,5.14896
4.5e-07,9.93359,5.16155
4.5e-07,9.88747,5.17421
4.5e-07,9.84146,5.18691
4.5e-07,9.79554,5.19968
4.5e-07,9.74973,5.2125
4.5e-07,9.70402,5.22537
4.5e-07,9.65841,5.2383
4.5e-07,9.61291,5.25129
4.5e-07,9.5675,5.26434
4.5e-07,9.5222,5.27744
4.5e-07,9.477,5.2906
4.5e-07,9.43191,5.30382
4.5e-07,9.38691,5.3171
4.5e-07,9.34202,5.33043
4.5e-07,9.29723,5.34383
4.5e-07,9.25255,5.35728
4.5e-07,9.20796,5.37079
4.5e-07,9.16349,5.38437
4.5e-07,9.11911,5.398
4.5e-07,9.07484,5.4117
4.5e-07,9.03067,5.42546
4.5e-07,8.9866,5.43928
4.5e-07,8.94264,5.45316
4.5e-07,8.89878,5.4671
4.5e-07,8.85502,5.48111
4.5e-07,8.81137,5.49517
4.5e-07,8.76782,5.50931
4.5e-07,8.72438,5.5235
4.5e-07,8.68104,5.53776
4.5e-07,8.63781,5.55209
4.5e-07,8.59467,5.56648
4.5e-07,8.55165,5.58093
4.5e-07,8.50872,5.59546
4.5e-07,8.46591,5.61004
4.5e-07,8.42319,5.6247
4.5e-07,8.38058,5.63942
4.5e-07,8.33808,5.65421
4.5e-07,8.29568,5.66906
4.5e-07,8.25339,5.68399
4.5e-07,8.2112,5.69898
4.5e-07,8.16911,5.71404
4.5e-07,8.12713,5.72917
4.5e-07,8.08526,5.74437
4.5e-07,8.04349,5.75964
4.5e-07,8.00183,5.77498
4.5e-07,7.96027,5.79039
4.5e-07,7.91882,5.80588
4.5e-07,7.87747,5.82143
4.5e-07,7.83623,5.83706
4.5e-07,7.7951,5.85276
4.5e-07,7.75407,5.86853
4.5e-07,7.71315,5.88438
4.5e-07,7.67233,5.9003
4.5e-07,7.63162,5.9163
4.5e-07,7.59102,5.93237
4.5e-07,7.55053,5.94851
4.5e-07,7.51014,5.96473
4.5e-07,7.46985,5.98103
4.5e-07,7.42968,5.9974
4.5e-07,7.38961,6.01385
4.5e-07,7.34964,6.03038
4.5e-07,7.30979,6.04699
4.5e-07,7.27004,6.06367
4.5e-07,7.2304,6.08043
4.5e-07,7.19087,6.09727
4.5e-07,7.15144,6.1142
4.5e-07,7.11212,6.1312
4.5e-07,7.07291,6.14828
4.5e-07,7.03381,6.16545
4.5e-07,6.99481,6.18269
4.5e-07,6.95593,6.20002
4.5e-07,6.91715,6.21743
4.5e-07,6.87847,6.23492
4.5e-07,6.83991,6.2525
4.5e-07,6.80146,6.27016
4.5e-07,6.76311,6.2879
4.5e-07,6.72487,6.30573
4.5e-07,6.68674,6.32365
4.5e-07,6.64872,6.34165
4.5e-07,6.61081,6.35974
4.5e-07,6.57301,6.37791
4.5e-07,6.53531,6.39618
4.5e-07,6.49773,6.41452
4.5e-07,6.46025,6.43296
4.5e-07,6.42289,6.45149
4.5e-07,6.38563,6.47011
4.5e-07,6.34848,6.48881
4.5e-07,6.31144,6.50761
4.5e-07,6.27451,6.5265
4.5e-07,6.23769,6.54547
4.5e-07,6.20099,6.56455
4.5e-07,6.16439,6.58371
4.5e-07,6.1279,6.60296
4.5e-07,6.09152,6.62231
4.5e-07,6.05525,6.64176
4.5e-07,6.01909,6.66129
4.5e-07,5.98304,6.68093
4.5e-07,5.9471,6.70065
4.5e-07,5.91128,6.72048
4.5e-07,5.87556,6.7404
4.5e-07,5.83996,6.76042
4.5e-07,5.80446,6.78053
4.5e-07,5.76908,6.80075
4.5e-07,5.73381,6.82106
4.5e-07,5.69864,6.84147
4.5e-07,5.66359,6.86198
4.5e-07,5.62865,6.88259
4.5e-07,5.59383,6.9033
4.5e-07,5.55911,6.92411
4.5e-07,5.52451,6.94503
4.5e-07,5.49002,6.96604
4.5e-07,5.45563,6.98716
4.5e-07,5.42137,7.00839
4.5e-07,5.38721,7.02971
4.5e-07,5.35317,7.05115
4.5e-07,5.31923,7.07268
4.5e-07,5.28541,7.09432
4.5e-07,5.25171,7.11607
4.5e-07,5.21811,7.13793
4.5e-07,5.18463,7.15989
4.5e-07,5.15126,7.18196
4.5e-07,5.118,7.20413
4.5e-07,5.08486,7.22642
4.5e-07,5.05183,7.24882
4.5e-07,5.01891,7.27132
4.5e-07,4.98611,7.29394
4.5e-07,4.95342,7.31666
4.5e-07,4.92084,7.3395
4.5e-07,4.88837,7.36245
4.5e-07,4.85602,7.38551
4.5e-07,4.82379,7.40869
4.5e-07,4.79166,7.43197
4.5e-07,4.75965,7.45538
4.5e-07,4.72776,7.47889
4.5e-07,4.69598,7.50253
4.5e-07,4.66431,7.52627
4.5e-07,4.63276,7.55014
4.5e-07,4.60132,7.57412
4.5e-07,4.57,7.59822
4.5e-07,4.53879,7.62243
4.5e-07,4.50769,7.64677
4.5e-07,4.47671,7.67122
4.5e-07,4.44584,7.69579
4.5e-07,4.41509,7.72048
4.5e-07,4.38446,7.74529
4.5e-07,4.35394,7.77023
4.5e-07,4.32353,7.79528
4.5e-07,4.29324,7.82046
4.5e-07,4.26307,7.84575
4.5e-07,4.23301,7.87117
4.5e-07,4.20306,7.89672
4.5e-07,4.17324,7.92238
4.5e-07,4.14352,7.94818
4.5e-07,4.11393,7.97409
4.5e-07,4.08445,8.00013
4.5e-07,4.05508,8.0263
4.5e-07,4.02583,8.05259
4.5e-07,3.9967,8.07901
4.5e-07,3.96768,8.10556
4.5e-07,3.93878,8.13223
4.5e-07,3.91,8.15903
4.5e-07,3.88133,8.18596
4.5e-07,3.85278,8.21302
4.5e-07,3.82434,8.24021
4.5e-07,3.79603,8.26753
4.5e-07,3.76783,8.29498
4.5e-07,3.73974,8.32255
4.5e-07,3.71177,8.35026
4.5e-07,3.68392,8.3781
4.5e-07,3.65619,8.40607
4.5e-07,3.62858,8.43418
4.5e-07,3.60108,8.46241
4.5e-07,3.5737,8.49078
4.5e-07,3.54643,8.51928
4.5e-07,3.51928,8.54791
4.5e-07,3.49226,8.57668
4.5e-07,3.46534,8.60558
4.5e-07,3.43855,8.63462
4.5e-07,3.41188,8.66379
4.5e-07,3.38532,8.6931
4.5e-07,3.35888,8.72254
4.5e-07,3.33255,8.75211
4.5e-07,3.30635,8.78183
4.5e-07,3.28026,8.81167
4.5e-07,3.2543,8.84166
4.5e-07,3.22845,8.87178
4.5e-07,3.20272,8.90204
4.5e-07,3.1771,8.93243
4.5e-07,3.15161,8.96296
4.5e-07,3.12623,8.99363
4.5e-07,3.10097,9.02444
4.5e-07,3.07583,9.05538
4.5e-07,3.05081,9.08646
4.5e-07,3.02591,9.11768
4.5e-07,3.00113,9.14904
4.5e-07,2.97646,9.18053
4.5e-07,2.95192,9.21217
4.5e-07,2.92749,9.24394
4.5e-07,2.90318,9.27585
4.5e-07,2.87899,9.30789
4.5e-07,2.85492,9.34008
4.5e-07,2.83097,9.3724
4.5e-07,2.80714,9.40487
4.5e-07,2.78343,9.43747
4.5e-07,2.75984,9.4702
4.5e-07,2.73636,9.50308
4.5e-07,2.71301,9.5361
4.5e-07,2.68977,9.56925
4.5e-07,2.66665,9.60254
4.5e-07,2.64365,9.63597
4.5e-07,2.62078,9.66953
4.5e-07,2.59802,9.70323
4.5e-07,2.57538,9.73707
4.5e-07,2.55286,9.77105
4.5e-07,2.53046,9.80516
4.5e-07,2.50817,9.83941
4.5e-07,2.48601,9.87379
4.5e-07,2.46397,9.90831
4.5e-07,2.44205,9.94297
4.5e-07,2.42024,9.97775
4.5e-07,2.39856,10.0127
4.5e-07,2.37699,10.0477
4.5e-07,2.35555,10.0829
4.5e-07,2.33422,10.1182
4.5e-07,2.31301,10.1537
4.5e-07,2.29192,10.1893
4.5e-07,2.27096,10.225
4.5e-07,2.25011,10.2609
4.5e-07,2.22938,10.2968
4.5e-07,2.20877,10.333
4.5e-07,2.18827,10.3692
4.5e-07,2.1679,10.4056
4.5e-07,2.14765,10.442
4.5e-07,2.12752,10.4787
4.5e-07,2.1075,10.5154
4.5e-07,2.08761,10.5523
4.5e-07,2.06783,10.5893
4.5e-07,2.04817,10.6264
4.5e-07,2.02863,10.6636
4.5e-07,2.00921,10.701
4.5e-07,1.98991,10.7385
4.5e-07,1.97073,10.7761
4.5e-07,1.95167,10.8138
4.5e-07,1.93272,10.8516
4.5e-07,1.9139,10.8896
4.5e-07,1.89519,10.9276
4.5e-07,1.8766,10.9658
4.5e-07,1.85813,11.0041
4.5e-07,1.83978,11.0425
4.5e-07,1.82155,11.081
4.5e-07,1.80343,11.1196
4.5e-07,1.78543,11.1583
4.5e-07,1.76755,11.1972
4.5e-07,1.74979,11.2361
4.5e-07,1.73214,11.2751
4.5e-07,1.71462,11.3143
4.5e-07,1.69721,11.3535
4.5e-07,1.67992,11.3928
4.5e-07,1.66274,11.4322
4.5e-07,1.64568,11.4717
4.5e-07,1.62874,11.5114
4.5e-07,1.61192,11.5511
4.5e-07,1.59521,11.5908
4.5e-07,1.57862,11.6307
4.5e-07,1.56215,11.6707
4.5e-07,1.54579,11.7107
4.5e-07,1.52955,11.7508
4.5e-07,1.51342,11.791
4.5e-07,1.49741,11.8313
4.5e-07,1.48151,11.8716
